Cam Newton
Eli Manning
Drew Brees
Matthew Stafford
Aaron Rodgers
Kirk Cousins
Jimmy Garoppolo
Philip Rivers
Russell Wilson
Blake Bortles
Andy Dalton
Joe Flacco
Ben Roethlisberger
Carson Palmer
Dak Prescott
Jameis Winston
Tyrod Taylor
Marcus Mariota
Antonio Brown
Carson Wentz
Ryan Fitzpatrick
Ryan Tannehill
Derek Carr
Andrew Luck
Brock Osweiler
Josh McCown
Alex Smith
David Johnson
Trevor Siemian
Odell Beckham Jr.
Matt Forte
C.J. Anderson
Julio Jones
Matt Ryan
Jay Cutler
Jeremy Langford
Lamar Miller
LeSean McCoy
Mark Ingram
Rashad Jennings
A.J. Green
LeGarrette Blount
Ezekiel Elliott
Panthers D/ST
DeAndre Hopkins
DeMarco Murray
Blaine Gabbert
Devonta Freeman
Spencer Ware
DeAngelo Williams
Allen Robinson
Jonathan Stewart
Sam Bradford
Jordy Nelson
Seahawks D/ST
Brandon Marshall
Dez Bryant
Todd Gurley
Mike Evans
Alshon Jeffery
Josh Brown
Jarvis Landry
Ameer Abdullah
Demaryius Thomas
Latavius Murray
Danny Woodhead
Amari Cooper
Ryan Mathews
Eddie Lacy
Michael Floyd
DeSean Jackson
Jordan Reed
Doug Martin
Adrian Peterson
Larry Fitzgerald
Stephen Gostkowski
Graham Gano
Eric Decker
Matt Prater
Blair Walsh
Chandler Catanzaro
Justin Tucker
Isaiah Crowell
Greg Olsen
Steven Hauschka
Kelvin Benjamin
Brandin Cooks
Randall Cobb
Brandon McManus
Golden Tate
Chargers D/ST
Marvin Jones
Chris Boswell
Justin Forsett
Arian Foster
Travis Benjamin
Theo Riddick
Emmanuel Sanders
Rob Gronkowski
Jason Myers
T.Y. Hilton
Roberto Aguayo
Adam Vinatieri
Josh Lambo
Antonio Gates
Matt Jones
Nick Novak
Mason Crosby
Steve Smith Sr.
Case Keenum
Dan Bailey
Dan Carpenter
Dustin Hopkins
Connor Barth
Sebastian Janikowski
Stefon Diggs
Patrick Murray
Michael Crabtree
Jeremy Maclin
Melvin Gordon
Sammy Watkins
Jets D/ST
Donte Moncrief
Jeremy Hill
Julian Edelman
Matt Bryant
Cardinals D/ST
Will Fuller
Mike Nugent
Doug Baldwin
John Brown
Tyrell Williams
Patriots D/ST
Nick Folk
Broncos D/ST
Sterling Shepard
Ravens D/ST
Thomas Rawls
Ryan Succop
Wil Lutz
Allen Hurns
Mike Wallace
Delanie Walker
Cairo Santos
Terrance West
Willie Snead
Frank Gore
Corey Coleman
Bears D/ST
Kevin White
Giovani Bernard
T.J. Yeldon
Colts D/ST
Shane Vereen
Jordan Matthews
Christine Michael
Lions D/ST
Vincent Jackson
Mohamed Sanu
Packers D/ST
Julius Thomas
DeVante Parker
Caleb Sturgis
Tajae Sharpe
Andrew Franks
Tyler Lockett
Kenny Stills
Buccaneers D/ST
Rams D/ST
Phil Dawson
Torrey Smith
Chiefs D/ST
Coby Fleener
Chris Ivory
Carlos Hyde
Jaguars D/ST
Falcons D/ST
Michael Thomas
Gary Barnidge
Texans D/ST
Charles Sims
Bengals D/ST
Terrelle Pryor
Eric Ebron
Victor Cruz
Vikings D/ST
Jason Witten
Tevin Coleman
Eagles D/ST
Raiders D/ST
Bills D/ST
Ted Ginn Jr.
Travis Kelce
Duke Johnson Jr.
Markus Wheaton
Brandon LaFell
Dolphins D/ST
Greg Zuerlein
Giants D/ST
Eli Rogers
Ka'Deem Carey
James White
Tavon Austin
Darren Sproles
Chris Thompson
Jeremy Kerley
Anquan Boldin
Titans D/ST
Bilal Powell
Steelers D/ST
Derrick Henry
Redskins D/ST
Devontae Booker
James Starks
Jesse James
Quincy Enunwa
Devin Funchess
Dwayne Allen
Chris Hogan
Cowboys D/ST
Zach Miller
Browns D/ST
Pierre Garcon
Charles Clay
C.J. Uzomah
Davante Adams
Robert Woods
Dontrelle Inman
Jared Cook
Jamison Crowder
Phillip Dorsett
Terrance Williams
Kyle Rudolph
Tyler Boyd
Dennis Pitta
Jacob Tamme
Jordan Cameron
Nelson Agholor
Brent Celek
Rishard Matthews
Charles Johnson
Quinton Patton
Braxton Miller
49ers D/ST
Chris Conley
Kenny Britt
Martellus Bennett
Clive Walford
Larry Donnell
Jimmy Graham
Will Tye
Virgil Green
Seth Roberts
Jermaine Kearse
Shaun Draughn
Fozzy Whittaker
Trey Burton
Charcandrick West
Marqise Lee
Tim Hightower
Cole Beasley
Chris Johnson
Adam Humphries
Kamar Aiken
Cameron Brate
Andrew Hawkins
Eddie Royal
Vance McDonald
Kendall Wright
Travaris Cadet
Alfred Morris
Garrett Celek
Austin Seferian-Jenkins
Adam Thielen
Damien Williams
Dorial Green-Beckham
Brian Quick
Albert Wilson
Saints D/ST
Jerick McKinnon
Mike Tolbert
Luke Willson
Richard Rodgers
Hunter Henry
Reggie Bush
Tyler Ervin
Rashad Greene
Darren Fells
Josh Hill
Sammie Coates
Mike Gillislee
Brandon Bolden
Crockett Gillmore
Jermaine Gresham
Corey Brown
Orleans Darkwa
Malcolm Mitchell
Andre Ellington
Kyle Juszczyk
Josh Huff
Stephen Anderson
Andre Johnson
Breshad Perriman
DeAndre Washington
Greg Salas
Jack Doyle
J.J. Nelson
Kenjon Barner
Jalen Richard
Ryan Griffin
Josh Doctson
Cole Wick
Marcedes Lewis
Vernon Davis
Bennie Fowler
Lance Kendricks
Levine Toilolo
Robert Turbin
Justin Hardy
Jaelen Strong
Benjamin Cunningham
Andre Holmes
Cody Latimer
Lance Dunbar
Tyler Higbee
Brice Butler
Dion Sims
Anthony Fasano
Marquise Goodwin
Leonte Carroo
Bradley Marquez
Laquon Treadwell
Rod Streater
Fitzgerald Toussaint
C.J. Fiedorowicz
Ed Dickson
C.J. Prosise
Paul Richardson
Jalin Marshall
Lucky Whitehead
Dwayne Washington
Jamize Olawale
Maxx Williams
Jeff Heuerman
Danny Amendola
Jordan Howard
John Kuhn
Knile Davis
Javorius Allen
Cordarrelle Patterson
Kellen Davis
James Wright
Tyler Kroft
Alfred Blue
Rhett Ellison
Ty Montgomery
Quan Bray
Troy Niklas
Niles Paul
Jared Abbrederis
Demetrius Harris
Logan Paulsen
Chris Moore
Tavarres King
Lee Smith
Josh Ferguson
Jordan Norwood
James Develin
Dwayne Harris
Jaron Brown
Erik Swoope
Andre Roberts
Robert Kelley
Ryan Hewitt
Brandon Coleman
Tyreek Hill
Geoff Swaim
